phase,comp_id,tier,comp_label,n_total,composition,use_room,enh_rule,notes
3,S3-N3,normal,1A+1S+1N,3,大邪术师×1+盾兵×1+普通小怪×1,普通房/普通宝箱,强化=+1（优先狗/普）或1精英；含A的组合强化不加第二A除非原已双A,大邪+盾
3,S3-E3,enhanced,1A+1S+1N+1,4,大邪术师×1+盾兵×1+普通小怪×2,祭坛/大宝箱,强化:+1 普通小怪,count
3,S3-N4,normal,1A+2N+1M,4,大邪术师×1+普通小怪×2+邪法师×1,普通房/普通宝箱,强化=+1（优先狗/普）或1精英；含A的组合强化不加第二A除非原已双A,满编法
3,S3-E4,enhanced,1A+2N+1M+精英,4,大邪术师×1+普通小怪×2+邪法师×1,祭坛/大宝箱,强化:1只精英 HP×1.25 伤×1.15,elite
3,S3-N5,normal,2A+1对D,4,大邪术师×2+狗×2,普通房/普通宝箱,强化=+1（优先狗/普）或1精英；含A的组合强化不加第二A除非原已双A,双大邪高压
3,S3-E5,enhanced,2A+1对D+精英,4,大邪术师×2+狗×2,祭坛/大宝箱,强化:1只精英 HP×1.25 伤×1.15,elite
META,wave_size,3-4,,,,Spec每轮约3–4
META,normal_room,normal_tier,,,,普通房+普通宝箱走normal
META,ordinary_chest,normal_tier,,,,普通宝箱不走enhanced
META,chest_altar,altar_large_only,,,,仅祭坛/大宝箱走enhanced
META,big_chest_extra,+1to+2,,,,仅大宝箱：强化组合总只数上再加1～2（同池种）
META,elite_mul,hp1.25_atk1.15,,,,纸面；不锁
META,hp_float,±10%,,,,刷怪HP∈[hp_lo,hp_hi]
META,lock,0,,,,草案不锁
